// General information: 
//  MT Manager version: 2019.2.0 
//  XDA version: 2019.2.0 build 3853 rev 94535 built on 2019-09-09
// Device information: 
//  DeviceId: 0770102F
//  ProductCode: MTi-G-710-2A8G0
//  Firmware Version: 1.4.2
//  Hardware Version: 2.1.0
// Device settings: 
//  Filter Profile: General(1.18)
//  Option Flags: Orientation Smoother Disabled, AHS Disabled, ICC Disabled
//  GNSS Platform: Portable
// Coordinate system: ENU
PacketCounter UTC_Nano UTC_Year UTC_Month UTC_Day UTC_Hour UTC_Minute UTC_Second UTC_Valid Acc_X Acc_Y Acc_Z Gyr_X Gyr_Y Gyr_Z
29299 745400000 2022 2 2 14 36 32 55 0.075005 0.030171 9.488074 0.000487 -0.002997 -0.002870
29300 755400000 2022 2 2 14 36 32 55 0.055930 0.034309 9.482198 0.001162 -0.003411 -0.004756
29301 765400000 2022 2 2 14 36 32 55 0.066537 0.026403 9.481888 0.000050 -0.000979 -0.001058
29302 775400000 2022 2 2 14 36 32 55 0.068274 0.023838 9.473516 0.001311 -0.004150 -0.002254
29303 785400000 2022 2 2 14 36 32 55 0.092099 0.014206 9.468370 -0.000403 0.000421 -0.002564
29304 795400000 2022 2 2 14 36 32 55 0.070634 0.028930 9.466696 0.002089 -0.001896 -0.000088
29305 805400000 2022 2 2 14 36 32 55 0.064695 0.045612 9.488416 -0.002613 -0.001384 -0.002280
29306 815400000 2022 2 2 14 36 32 55 0.066930 0.033565 9.480012 0.002364 0.000308 -0.003235
29307 825400000 2022 2 2 14 36 32 55 0.072332 0.040325 9.483904 0.000583 0.000114 -0.006346
29308 835400000 2022 2 2 14 36 32 55 0.082271 0.020081 9.480104 0.001043 -0.002862 -0.001833
29309 845400000 2022 2 2 14 36 32 55 0.079987 0.017280 9.492260 -0.000058 0.000566 -0.004460
29310 855400000 2022 2 2 14 36 32 55 0.089517 0.030485 9.491642 0.002104 -0.002901 -0.000869
29311 865400000 2022 2 2 14 36 32 55 0.080029 0.041423 9.475978 -0.000916 -0.000062 -0.004062
29312 875400000 2022 2 2 14 36 32 55 0.073114 0.031741 9.480831 -0.002868 -0.001586 -0.004457
29313 885400000 2022 2 2 14 36 32 55 0.058906 0.035504 9.480707 0.001248 0.000238 -0.002667
29314 895400000 2022 2 2 14 36 32 55 0.063520 0.025894 9.472716 0.002322 -0.000812 -0.002269
29315 905400000 2022 2 2 14 36 32 55 0.070579 0.050806 9.478166 -0.002243 -0.001302 -0.003441
29316 915400000 2022 2 2 14 36 32 55 0.065086 0.042264 9.461213 0.001547 -0.002837 -0.003088
29317 925400000 2022 2 2 14 36 32 55 0.062285 0.027788 9.481698 0.002576 -0.000578 -0.001308
29318 935400000 2022 2 2 14 36 32 55 0.077644 0.022735 9.482203 -0.002079 -0.001296 -0.000961
29319 945400000 2022 2 2 14 36 32 55 0.056729 0.032907 9.467184 0.000907 0.001103 -0.003247
29320 955400000 2022 2 2 14 36 32 55 0.066020 0.035417 9.475672 0.000767 -0.002270 -0.003987
29321 965400000 2022 2 2 14 36 32 55 0.079759 0.038049 9.470860 -0.000641 -0.001221 -0.003671
